Tournament, Match, P1, P2, P1 Score, P2 Score, Winner
1, 1, Joel, Gabe, 0, 2, Gabe
1, 2, Chase, Connor, 2, 0, Chase
1, 3, Andrew, Peter, 2, 0, Andrew
1, 4, Connor, Peter, 2, 1, Connor
1, 5, Mateo, Gabe, 2, 0, Mateo
1, 6, Chase, Andrew, 2, 0, Chase
1, 7, Gabe, Connor, 2, 0, Gabe
1, 8, Andrew, Joel, 2, 0, Andrew
1, 9, Andrew, Gabe, 2, 0, Andrew
1, 10, Mateo, Chase, 2, 1, Mateo
1, 11, Chase, Andrew, 3, 0, Chase
1, 12, Mateo, Chase, 2, 3, Chase
1, 13, Chase, Mateo, 3, 0, Chase
2, 1, Chase, Alec, 0, 2, Alec
2, 2, Emilio, Diego, 2, 1, Emilio
2, 3, Mateo, Peter, 2, 1, Mateo
2, 4, Andrew, Joel, 1, 2, Joel
2, 5, Chase, Diego, 2, 0, Chase
2, 6, Peter, Andrew, 0, 0, Andrew
2, 7, Alec, Emilio, 1, 2, Emilio
2, 8, Mateo, Joel, 2, 0, Mateo
2, 9, Alec, Andrew, 2, 1, Alec
2, 10, Joel, Chase, 0, 2, Chase
2, 11, Chase, Alec, 2, 1, Chase
2, 12, Emilio, Mateo, 1, 3, Mateo
2, 13, Emilio, Chase, 2, 3, Chase
2, 14, Mateo, Chase, 0, 3, Chase
2, 15, Chase, Mateo, 3, 1, Chase
3, 1, Peter, Diego, 0, 2, Diego
3, 2, Emilio, Alec, 0, 0, Emilio
3, 3, Chase, Gabe, 2, 0, Chase
3, 4, Mateo, Andrew, 2, 1, Mateo
3, 5, Chris, Diego, 2, 1, Chris
3, 6, Andrew, Peter, 2, 0, Andrew
3, 7, Alec, Diego, 0, 0, Diego
3, 8, Gabe, Andrew, 2, 1, Gabe
3, 9, Chase, Mateo, 2, 1, Chase
3, 10, Chris, Emilio, 2, 0, Chris
3, 11, Mateo, Diego, 2, 0, Mateo
3, 12, Emilio, Gabe, 1, 2, Gabe
3, 13, Gabe, Mateo, 0, 2, Mateo
3, 14, Chris, Chase, 3, 2, Chris
3, 15, Chase, Mateo, 3, 2, Chase
3, 16, Chris, Chase, 3, 0, Chris
4, 1, Gabe, Emilio, 2, 0, Gabe
4, 2, Mateo, Andrew, 2, 0, Mateo
4, 3, Chris, Gabe, 2, 0, Chris
4, 4, Chase, Mateo, 2, 1, Chase
4, 5, Gabe, Andrew, 2, 0, Gabe
4, 6, Mateo, Emilio, 0, 2, Emilio
4, 7, Emilio, Gabe, 2, 0, Emilio
4, 8, Chris, Chase, 1, 3, Chase
4, 9, Chris, Emilio, 3, 0, Chris
4, 10, Chase, Chris, 1, 3, Chris
4, 11, Chris, Chase, 3, 1, Chris
5, 1, Emilio, Andrew, 2, 1, Emilio
5, 2, Chase, Mateo, 1, 2, Mateo
5, 3, Chris, Emilio, 2, 1, Chris
5, 4, Chase, Andrew, 0, 0, Chase
5, 5, Emilio, Chase, 1, 2, Chase
5, 6, Chris, Mateo, 3, 1, Chris
5, 7, Mateo, Chase, 3, 0, Mateo
5, 8, Chris, Mateo, 3, 0, Chris
6, 1, Diego, Andrew, 1, 2, Andrew
6, 2, Chase, Joel, 2, 0, Chase
6, 3, Chris, Andrew, 2, 0, Chris
6, 4, Mateo, Chase, 0, 2, Chase
6, 5, Andrew, Joel, 0, 2, Joel
6, 6, Mateo, Diego, 0, 2, Diego
6, 7, Diego, Joel, 2, 0, Diego
6, 8, Chris, Chase, 3, 1, Chris
6, 9, Chase, Diego, 0, 0, Chase
6, 10, Chris, Chase, 0, 0, Chase
6, 11, Chase, Chris, 0, 0, None
7, 1, Mateo, Andrew, 2, 0, Mateo
7, 2, Chase, Gabe, 2, 0, Chase
7, 3, Diego, Emilio, 1, 2, Emilio
7, 4, Gabe, Diego, 2, 1, Gabe
7, 5, Chris, Mateo, 2, 0, Chris
7, 6, Chase, Emilio, 1, 2, Emilio
7, 7, Mateo, Gabe, 2, 0, Mateo
7, 8, Chase, Andrew, 2, 0, Chase
7, 9, Chase, Mateo, 0, 2, Mateo
7, 10, Chris, Emilio, 3, 0, Chris
7, 11, Emilio, Mateo, 1, 3, Mateo
7, 12, Chris, Mateo, 3, 1, Chris
8, 1, Emilio, Andrew, 2, 0, Emilio
8, 2, Mateo, Diego, 2, 0, Mateo
8, 3, Chris, Emilio, 2, 1, Chris
8, 4, Chase, Mateo, 0, 2, Mateo
8, 5, Emilio, Diego, 0, 2, Diego
8, 6, Chase, Andrew, 2, 0, Chase
8, 7, Chase, Diego, 2, 0, Chase
8, 8, Chris, Mateo, 1, 3, Mateo
8, 9, Chris, Chase, 3, 0, Chris
8, 10, Mateo, Chris, 2, 3, Chris
8, 11, Chris, Mateo, 3, 1, Chris
